"Номер тендера","Описание","Дата публикации","Срок подачи","Организатор","Заказчик","Ссылка"
"Запрос предложений № 4126046 ","Запасные части для ремонта фронтального погрузчика LIUGONG CLG877H","2025-08-03","07.08.2025 14:00","ООО ""ПЛИТВУД""","","https://www.b2b-center.ru/market/zapasnye-chasti-dlia-remonta-frontalnogo-pogruzchika-liugong/tender-4126046/#btid=2&sqh=067586a90d906e9709a5044ee70654c13d057097&tsid=4126046004"
"Запрос предложений № 4126038 ","Строительные материалы, срочно. Упаковка по ГОСТ. (ЯЩИК!)","2025-08-03","06.08.2025 14:00","ООО ""ТД ПОЛИМЕТАЛЛ""","","https://www.b2b-center.ru/market/stroitelnye-materialy-srochno-upakovka-po-gost-iashchik-pokupatel/tender-4126038/#btid=2&sqh=067586a90d906e9709a5044ee70654c13d057097&tsid=4126038004"
"Запрос предложений № 4126034 ","Доставка прицепа по маршруту Челябинск - Кемерово","2025-08-03","07.08.2025 12:00","ООО ""УАП-КАРГОСЕРВИС""","","https://www.b2b-center.ru/market/dostavka-pritsepa-po-marshrutu-cheliabinsk-kemerovo/tender-4126034/#btid=2&sqh=067586a90d906e9709a5044ee70654c13d057097&tsid=4126034004"
"Запрос предложений № 4126033 ","Буксировка прицепа по маршруту Челябинск- Омск","2025-08-03","07.08.2025 12:00","ООО ""УАП-КАРГОСЕРВИС""","","https://www.b2b-center.ru/market/buksirovka-pritsepa-po-marshrutu-cheliabinsk-omsk/tender-4126033/#btid=2&sqh=067586a90d906e9709a5044ee70654c13d057097&tsid=4126033004"
"Запрос предложений № 4126032 ","Монтаж металлоконструкций в рамках технического перевооружения ГК ЗИФ для устройства кранового пути в отделении флотации (оси Ж-И/2-4) АО «ТЗРК»","2025-08-03","12.08.2025 12:00","АО ""ТЗРК""","","https://www.b2b-center.ru/market/montazh-metallokonstruktsii-v-ramkakh-tekhnicheskogo-perevooruzheniia-gk-zif/tender-4126032/#btid=2&sqh=067586a90d906e9709a5044ee70654c13d057097&tsid=4126032004"
"Запрос предложений № 4126031 ","Монтаж металлоконструкций в рамках технического перевооружения ГК ЗИФ отд. флотации АО «ТЗРК»","2025-08-03","12.08.2025 11:00","АО ""ТЗРК""","","https://www.b2b-center.ru/market/montazh-metallokonstruktsii-v-ramkakh-tekhnicheskogo-perevooruzheniia-gk-zif/tender-4126031/#btid=2&sqh=067586a90d906e9709a5044ee70654c13d057097&tsid=4126031004"
"Запрос предложений № 4126030 ","Поставка горно-транспортной техники.","2025-08-03","08.08.2025 12:00","ООО ""ОЗЕРНОВСКИЙ ГМК""","АО ""СИГМА""","https://www.b2b-center.ru/market/postavka-gorno-transportnoi-tekhniki/tender-4126030/#btid=2&sqh=067586a90d906e9709a5044ee70654c13d057097&tsid=4126030004"
"Запрос предложений № 4126029 ","Поставка запасных частей для горно-транспортной техники (1057).","2025-08-03","08.08.2025 12:00","ООО ""ОЗЕРНОВСКИЙ ГМК""","АО ""СИГМА""","https://www.b2b-center.ru/market/postavka-zapasnykh-chastei-dlia-gorno-transportnoi-tekhniki-1057/tender-4126029/#btid=2&sqh=067586a90d906e9709a5044ee70654c13d057097&tsid=4126029004"
"Запрос предложений № 4126028 ","МГ-015567 Выполнение земляных работ по строительству 14 яруса ограждающей дамбы, р. Ванин","2025-08-02","08.08.2025 12:00","АО ""ИК ""АРЛАН""","АО ""ПАВЛИК""","https://www.b2b-center.ru/market/mg-015567-vypolnenie-zemlianykh-rabot-po-stroitelstvu-14-iarusa/tender-4126028/#btid=2&sqh=067586a90d906e9709a5044ee70654c13d057097&tsid=4126028004"
"Запрос предложений № 4126026 ","Проведение запроса предложений по выбору поставщика Котельной с конденсатной станцией (150 т/ч, тит. 232) в рамках реализации проекта ""Комплекс переработки бензинов ООО ""Славянск ЭКО"" (3 этап)","2025-08-02","13.08.2025 18:00","ООО ""СЛАВЯНСК ЭКО""","","https://www.b2b-center.ru/market/provedenie-zaprosa-predlozhenii-po-vyboru-postavshchika-kotelnoi-s/tender-4126026/#btid=2&sqh=067586a90d906e9709a5044ee70654c13d057097&tsid=4126026004"
"Объявление о продаже № 4126071 ","Реализация НВИ по номенклатурной группе 107-Электрооборудование","2025-08-03","11.08.2025 12:00","ООО ""СИБУР""","ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""","https://www.b2b-center.ru/market/realizatsiia-nvi-po-nomenklaturnoi-gruppe-107-elektrooborudovanie/tender-4126071/#btid=2&sqh=593407777e187bacfe3f6a12f89829463f357000&tsid=4126071003"
"","","","","","","https://www.b2b-center.ru/app/market-next/zapchasti-dlia-vibratsionnoi-melnitsy-retsch-rs-200/tender-4126070/"
"","","","","","","https://www.b2b-center.ru/app/market-next/razrabotka-interaktivnogo-virtualnogo-trenazhera-3d-modeli-dlia/tender-4126068/"
"Объявление о продаже № 4126065 ","Реализация невостребованного имущества - Строительные материалы-огнеупорные","2025-08-03","11.08.2025 12:00","ООО ""СИБУР""","ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""","https://www.b2b-center.ru/market/realizatsiia-nevostrebovannogo-imushchestva-stroitelnye/tender-4126065/#btid=2&sqh=593407777e187bacfe3f6a12f89829463f357000&tsid=4126065003"
"Объявление о продаже № 4126064 ","Реализация невостребованного имущества - Строительные материалы","2025-08-03","11.08.2025 12:00","ООО ""СИБУР""","ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""","https://www.b2b-center.ru/market/realizatsiia-nevostrebovannogo-imushchestva-stroitelnye-materialy/tender-4126064/#btid=2&sqh=593407777e187bacfe3f6a12f89829463f357000&tsid=4126064003"
"Объявление о продаже № 4126062 ","Реализация НВИ группы 115-Строительные и изоляционные материалы","2025-08-03","17.08.2025 12:00","ООО ""СИБУР""","ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""","https://www.b2b-center.ru/market/realizatsiia-nvi-gruppy-115-stroitelnye-i-izoliatsionnye-materialy/tender-4126062/#btid=2&sqh=593407777e187bacfe3f6a12f89829463f357000&tsid=4126062003"
"Объявление о продаже № 4126058 ","Продажа лот компьютеры и оргтехника; Прочая номенклатура(НКНХ)","2025-08-03","17.08.2025 12:00","ООО ""СИБУР""","ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""","https://www.b2b-center.ru/market/prodazha-lot-kompiutery-i-orgtekhnika-prochaia-nomenklatura-nknkh/tender-4126058/#btid=2&sqh=593407777e187bacfe3f6a12f89829463f357000&tsid=4126058003"
"Предварительный квалификационный отбор № 4126055 ","Разработка проектной документации (стадия РД) и выполнение работ по сносу (демонтажу) объектов капитального строительства, зданий и сооружений, зеленых насаждений, покрытий в рамках подготовки территории строительства широтной магистрали...","2025-08-03","14.08.2025 12:00","ООО ""СОТЭКС""","","https://www.b2b-center.ru/market/razrabotka-proektnoi-dokumentatsii-stadiia-rd-i-vypolnenie-rabot-po/tender-4126055/#btid=2&sqh=593407777e187bacfe3f6a12f89829463f357000&tsid=4126055040"
"Запрос предложений № 4126051 ","Техноэласт Фундамент Гидро","2025-08-03","05.08.2025 16:00","ООО ХК ""НОВОЛЕКС""","","https://www.b2b-center.ru/market/tekhnoelast-fundament-gidro/tender-4126051/#btid=2&sqh=593407777e187bacfe3f6a12f89829463f357000&tsid=4126051004"
"Запрос предложений № 4126050 ","Поставка. Смесь бетонная БСТ В12,5 П3 F100 W4, (цемент, песок, щебень гранитный), ГОСТ 7473-2010 для  нужд  АО ""Разрез Колыванский""","2025-08-03","05.08.2025 12:00","ООО ""УК ""СИБАНТРАЦИТ""","АО ""Разрез Колыванский""","https://www.b2b-center.ru/market/postavka-smes-betonnaia-bst-v12-5-p3-f100-w4-tsement-pesok-shcheben/tender-4126050/#btid=2&sqh=593407777e187bacfe3f6a12f89829463f357000&tsid=4126050004"
"Запрос предложений № 4126046 ","Запасные части для ремонта фронтального погрузчика LIUGONG CLG877H","2025-08-03","07.08.2025 14:00","ООО ""ПЛИТВУД""","","https://www.b2b-center.ru/market/zapasnye-chasti-dlia-remonta-frontalnogo-pogruzchika-liugong/tender-4126046/#btid=2&sqh=593407777e187bacfe3f6a12f89829463f357000&tsid=4126046004"
"Запрос предложений № 4126038 ","Строительные материалы, срочно. Упаковка по ГОСТ. (ЯЩИК!)","2025-08-03","06.08.2025 14:00","ООО ""ТД ПОЛИМЕТАЛЛ""","","https://www.b2b-center.ru/market/stroitelnye-materialy-srochno-upakovka-po-gost-iashchik-pokupatel/tender-4126038/#btid=2&sqh=593407777e187bacfe3f6a12f89829463f357000&tsid=4126038004"
"Запрос предложений № 4126034 ","Доставка прицепа по маршруту Челябинск - Кемерово","2025-08-03","07.08.2025 12:00","ООО ""УАП-КАРГОСЕРВИС""","","https://www.b2b-center.ru/market/dostavka-pritsepa-po-marshrutu-cheliabinsk-kemerovo/tender-4126034/#btid=2&sqh=593407777e187bacfe3f6a12f89829463f357000&tsid=4126034004"
"Запрос предложений № 4126033 ","Буксировка прицепа по маршруту Челябинск- Омск","2025-08-03","07.08.2025 12:00","ООО ""УАП-КАРГОСЕРВИС""","","https://www.b2b-center.ru/market/buksirovka-pritsepa-po-marshrutu-cheliabinsk-omsk/tender-4126033/#btid=2&sqh=593407777e187bacfe3f6a12f89829463f357000&tsid=4126033004"
"Запрос предложений № 4126032 ","Монтаж металлоконструкций в рамках технического перевооружения ГК ЗИФ для устройства кранового пути в отделении флотации (оси Ж-И/2-4) АО «ТЗРК»","2025-08-03","12.08.2025 12:00","АО ""ТЗРК""","","https://www.b2b-center.ru/market/montazh-metallokonstruktsii-v-ramkakh-tekhnicheskogo-perevooruzheniia-gk-zif/tender-4126032/#btid=2&sqh=593407777e187bacfe3f6a12f89829463f357000&tsid=4126032004"
"Запрос предложений № 4126031 ","Монтаж металлоконструкций в рамках технического перевооружения ГК ЗИФ отд. флотации АО «ТЗРК»","2025-08-03","12.08.2025 11:00","АО ""ТЗРК""","","https://www.b2b-center.ru/market/montazh-metallokonstruktsii-v-ramkakh-tekhnicheskogo-perevooruzheniia-gk-zif/tender-4126031/#btid=2&sqh=593407777e187bacfe3f6a12f89829463f357000&tsid=4126031004"
"Запрос предложений № 4126030 ","Поставка горно-транспортной техники.","2025-08-03","08.08.2025 12:00","ООО ""ОЗЕРНОВСКИЙ ГМК""","АО ""СИГМА""","https://www.b2b-center.ru/market/postavka-gorno-transportnoi-tekhniki/tender-4126030/#btid=2&sqh=593407777e187bacfe3f6a12f89829463f357000&tsid=4126030004"
"Запрос предложений № 4126029 ","Поставка запасных частей для горно-транспортной техники (1057).","2025-08-03","08.08.2025 12:00","ООО ""ОЗЕРНОВСКИЙ ГМК""","АО ""СИГМА""","https://www.b2b-center.ru/market/postavka-zapasnykh-chastei-dlia-gorno-transportnoi-tekhniki-1057/tender-4126029/#btid=2&sqh=593407777e187bacfe3f6a12f89829463f357000&tsid=4126029004"
"Запрос предложений № 4126028 ","МГ-015567 Выполнение земляных работ по строительству 14 яруса ограждающей дамбы, р. Ванин","2025-08-02","08.08.2025 12:00","АО ""ИК ""АРЛАН""","АО ""ПАВЛИК""","https://www.b2b-center.ru/market/mg-015567-vypolnenie-zemlianykh-rabot-po-stroitelstvu-14-iarusa/tender-4126028/#btid=2&sqh=593407777e187bacfe3f6a12f89829463f357000&tsid=4126028004"
"Запрос предложений № 4126026 ","Проведение запроса предложений по выбору поставщика Котельной с конденсатной станцией (150 т/ч, тит. 232) в рамках реализации проекта ""Комплекс переработки бензинов ООО ""Славянск ЭКО"" (3 этап)","2025-08-02","13.08.2025 18:00","ООО ""СЛАВЯНСК ЭКО""","","https://www.b2b-center.ru/market/provedenie-zaprosa-predlozhenii-po-vyboru-postavshchika-kotelnoi-s/tender-4126026/#btid=2&sqh=593407777e187bacfe3f6a12f89829463f357000&tsid=4126026004"
"Объявление о продаже № 4126071 ","Реализация НВИ по номенклатурной группе 107-Электрооборудование","2025-08-03","11.08.2025 12:00","ООО ""СИБУР""","ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""","https://www.b2b-center.ru/market/realizatsiia-nvi-po-nomenklaturnoi-gruppe-107-elektrooborudovanie/tender-4126071/#btid=2&sqh=13d4cc78d0122ef34182b67ebbb812335a240bd6&tsid=4126071003"
"","","","","","","https://www.b2b-center.ru/app/market-next/zapchasti-dlia-vibratsionnoi-melnitsy-retsch-rs-200/tender-4126070/"
"","","","","","","https://www.b2b-center.ru/app/market-next/razrabotka-interaktivnogo-virtualnogo-trenazhera-3d-modeli-dlia/tender-4126068/"
"Объявление о продаже № 4126065 ","Реализация невостребованного имущества - Строительные материалы-огнеупорные","2025-08-03","11.08.2025 12:00","ООО ""СИБУР""","ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""","https://www.b2b-center.ru/market/realizatsiia-nevostrebovannogo-imushchestva-stroitelnye/tender-4126065/#btid=2&sqh=13d4cc78d0122ef34182b67ebbb812335a240bd6&tsid=4126065003"
"Объявление о продаже № 4126064 ","Реализация невостребованного имущества - Строительные материалы","2025-08-03","11.08.2025 12:00","ООО ""СИБУР""","ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""","https://www.b2b-center.ru/market/realizatsiia-nevostrebovannogo-imushchestva-stroitelnye-materialy/tender-4126064/#btid=2&sqh=13d4cc78d0122ef34182b67ebbb812335a240bd6&tsid=4126064003"
"Объявление о продаже № 4126062 ","Реализация НВИ группы 115-Строительные и изоляционные материалы","2025-08-03","17.08.2025 12:00","ООО ""СИБУР""","ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""","https://www.b2b-center.ru/market/realizatsiia-nvi-gruppy-115-stroitelnye-i-izoliatsionnye-materialy/tender-4126062/#btid=2&sqh=13d4cc78d0122ef34182b67ebbb812335a240bd6&tsid=4126062003"
"Объявление о продаже № 4126058 ","Продажа лот компьютеры и оргтехника; Прочая номенклатура(НКНХ)","2025-08-03","17.08.2025 12:00","ООО ""СИБУР""","ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""","https://www.b2b-center.ru/market/prodazha-lot-kompiutery-i-orgtekhnika-prochaia-nomenklatura-nknkh/tender-4126058/#btid=2&sqh=13d4cc78d0122ef34182b67ebbb812335a240bd6&tsid=4126058003"
"Предварительный квалификационный отбор № 4126055 ","Разработка проектной документации (стадия РД) и выполнение работ по сносу (демонтажу) объектов капитального строительства, зданий и сооружений, зеленых насаждений, покрытий в рамках подготовки территории строительства широтной магистрали...","2025-08-03","14.08.2025 12:00","ООО ""СОТЭКС""","","https://www.b2b-center.ru/market/razrabotka-proektnoi-dokumentatsii-stadiia-rd-i-vypolnenie-rabot-po/tender-4126055/#btid=2&sqh=13d4cc78d0122ef34182b67ebbb812335a240bd6&tsid=4126055040"
"Запрос предложений № 4126051 ","Техноэласт Фундамент Гидро","2025-08-03","05.08.2025 16:00","ООО ХК ""НОВОЛЕКС""","","https://www.b2b-center.ru/market/tekhnoelast-fundament-gidro/tender-4126051/#btid=2&sqh=13d4cc78d0122ef34182b67ebbb812335a240bd6&tsid=4126051004"
"Запрос предложений № 4126050 ","Поставка. Смесь бетонная БСТ В12,5 П3 F100 W4, (цемент, песок, щебень гранитный), ГОСТ 7473-2010 для  нужд  АО ""Разрез Колыванский""","2025-08-03","05.08.2025 12:00","ООО ""УК ""СИБАНТРАЦИТ""","АО ""Разрез Колыванский""","https://www.b2b-center.ru/market/postavka-smes-betonnaia-bst-v12-5-p3-f100-w4-tsement-pesok-shcheben/tender-4126050/#btid=2&sqh=13d4cc78d0122ef34182b67ebbb812335a240bd6&tsid=4126050004"
"Запрос предложений № 4126046 ","Запасные части для ремонта фронтального погрузчика LIUGONG CLG877H","2025-08-03","07.08.2025 14:00","ООО ""ПЛИТВУД""","","https://www.b2b-center.ru/market/zapasnye-chasti-dlia-remonta-frontalnogo-pogruzchika-liugong/tender-4126046/#btid=2&sqh=13d4cc78d0122ef34182b67ebbb812335a240bd6&tsid=4126046004"
"Запрос предложений № 4126038 ","Строительные материалы, срочно. Упаковка по ГОСТ. (ЯЩИК!)","2025-08-03","06.08.2025 14:00","ООО ""ТД ПОЛИМЕТАЛЛ""","","https://www.b2b-center.ru/market/stroitelnye-materialy-srochno-upakovka-po-gost-iashchik-pokupatel/tender-4126038/#btid=2&sqh=13d4cc78d0122ef34182b67ebbb812335a240bd6&tsid=4126038004"
"Запрос предложений № 4126034 ","Доставка прицепа по маршруту Челябинск - Кемерово","2025-08-03","07.08.2025 12:00","ООО ""УАП-КАРГОСЕРВИС""","","https://www.b2b-center.ru/market/dostavka-pritsepa-po-marshrutu-cheliabinsk-kemerovo/tender-4126034/#btid=2&sqh=13d4cc78d0122ef34182b67ebbb812335a240bd6&tsid=4126034004"
"Запрос предложений № 4126033 ","Буксировка прицепа по маршруту Челябинск- Омск","2025-08-03","07.08.2025 12:00","ООО ""УАП-КАРГОСЕРВИС""","","https://www.b2b-center.ru/market/buksirovka-pritsepa-po-marshrutu-cheliabinsk-omsk/tender-4126033/#btid=2&sqh=13d4cc78d0122ef34182b67ebbb812335a240bd6&tsid=4126033004"
"Запрос предложений № 4126032 ","Монтаж металлоконструкций в рамках технического перевооружения ГК ЗИФ для устройства кранового пути в отделении флотации (оси Ж-И/2-4) АО «ТЗРК»","2025-08-03","12.08.2025 12:00","АО ""ТЗРК""","","https://www.b2b-center.ru/market/montazh-metallokonstruktsii-v-ramkakh-tekhnicheskogo-perevooruzheniia-gk-zif/tender-4126032/#btid=2&sqh=13d4cc78d0122ef34182b67ebbb812335a240bd6&tsid=4126032004"
"Запрос предложений № 4126031 ","Монтаж металлоконструкций в рамках технического перевооружения ГК ЗИФ отд. флотации АО «ТЗРК»","2025-08-03","12.08.2025 11:00","АО ""ТЗРК""","","https://www.b2b-center.ru/market/montazh-metallokonstruktsii-v-ramkakh-tekhnicheskogo-perevooruzheniia-gk-zif/tender-4126031/#btid=2&sqh=13d4cc78d0122ef34182b67ebbb812335a240bd6&tsid=4126031004"
"Запрос предложений № 4126030 ","Поставка горно-транспортной техники.","2025-08-03","08.08.2025 12:00","ООО ""ОЗЕРНОВСКИЙ ГМК""","АО ""СИГМА""","https://www.b2b-center.ru/market/postavka-gorno-transportnoi-tekhniki/tender-4126030/#btid=2&sqh=13d4cc78d0122ef34182b67ebbb812335a240bd6&tsid=4126030004"
"Запрос предложений № 4126029 ","Поставка запасных частей для горно-транспортной техники (1057).","2025-08-03","08.08.2025 12:00","ООО ""ОЗЕРНОВСКИЙ ГМК""","АО ""СИГМА""","https://www.b2b-center.ru/market/postavka-zapasnykh-chastei-dlia-gorno-transportnoi-tekhniki-1057/tender-4126029/#btid=2&sqh=13d4cc78d0122ef34182b67ebbb812335a240bd6&tsid=4126029004"
"Запрос предложений № 4126028 ","МГ-015567 Выполнение земляных работ по строительству 14 яруса ограждающей дамбы, р. Ванин","2025-08-02","08.08.2025 12:00","АО ""ИК ""АРЛАН""","АО ""ПАВЛИК""","https://www.b2b-center.ru/market/mg-015567-vypolnenie-zemlianykh-rabot-po-stroitelstvu-14-iarusa/tender-4126028/#btid=2&sqh=13d4cc78d0122ef34182b67ebbb812335a240bd6&tsid=4126028004"
"Запрос предложений № 4126026 ","Проведение запроса предложений по выбору поставщика Котельной с конденсатной станцией (150 т/ч, тит. 232) в рамках реализации проекта ""Комплекс переработки бензинов ООО ""Славянск ЭКО"" (3 этап)","2025-08-02","13.08.2025 18:00","ООО ""СЛАВЯНСК ЭКО""","","https://www.b2b-center.ru/market/provedenie-zaprosa-predlozhenii-po-vyboru-postavshchika-kotelnoi-s/tender-4126026/#btid=2&sqh=13d4cc78d0122ef34182b67ebbb812335a240bd6&tsid=4126026004"
